58,58,58,58,58,58,58,58,58,58,58,58,58,58,58
58,58,58,58,58,58,58,58,58,58,58,58,58,58,58
58,58,58,58,2061,58,58,58,58,58,58,58,58,58,58
58,58,1704,58,2121,58,58,58,1709,58,2299,2300,2301,58,58
58,58,1764,58,1999,58,58,58,1769,58,2359,2360,2361,58,58
58,58,58,58,58,58,2187,58,58,58,58,58,58,58,58
58,58,58,58,58,58,58,58,58,58,58,58,58,58,58
58,58,58,58,58,58,58,58,58,58,58,58,58,58,58
58,58,58,58,58,58,58,58,58,58,58,58,58,58,58
58,58,58,58,58,58,58,58,58,58,58,58,1884,58,58
58,58,58,58,58,58,58,58,58,58,58,58,1944,58,58
58,58,58,58,58,58,58,58,58,58,58,58,3023,58,58
58,58,58,58,58,58,58,58,58,58,58,58,3083,58,58
58,58,58,58,58,58,58,58,58,58,58,58,58,58,58
58,58,58,58,58,58,58,58,58,58,58,58,58,58,58
